"x","y","H5_cont","H5_disc","simple"
526.5,82.5,1,1,2
643.5,993.5,1,1,2
628.5,297.5,1,1,2
886.5,353.5,1,1,2
600.5,320.5,1,1,2
564.5,207.5,1,1,2
496.5,305.5,1,1,2
559.5,474.5,2.5,1,3.5
268.5,733.5,3.25,1,4.25
677.5,109.5,3.0625,1,4.0625
464.5,385.5,1,1,2
492.5,341.5,1,1,2
536.5,94.5,1,1,2
746.5,446.5,3.4375,1,4.4375
848.5,308.5,1,1,2
558.5,823.5,3.8125,1,4.8125
724.5,615.5,1,1,2
610.5,215.5,1,1,2
328.5,455.5,1,1,2
687.5,112.5,3.8125,1,4.8125
451.5,343.5,1,1,2
156.5,709.5,3.4375,1,4.4375
460.5,842.5,1,1,2
441.5,875.5,1,1,2
136.5,788.5,1,1,2
986.5,507.5,1,1,2
925.5,409.5,1,1,2
998.5,518.5,1,1,2
659.5,953.5,2.125,1,3.125
987.5,618.5,1,1,2
404.5,729.5,1,1,2
448.5,91.5,1,1,2
56.5,1022.5,1,1,2
831.5,305.5,1.5625,1,2.5625
837.5,307.5,1,1,2
748.5,302.5,1,1,2
419.5,403.5,1.9375,1,2.9375
954.5,567.5,1,1,2
283.5,776.5,1,1,2
447.5,34.5,1,1,2
208.5,719.5,1,1,2
81.5,845.5,2.5,1,3.5
436.5,314.5,1,1,2
589.5,580.5,1,1,2
684.5,191.5,1,1,2
649.5,279.5,1,1,2
867.5,498.5,1,1,2
613.5,204.5,1,1,2
488.5,624.5,1,1,2
801.5,142.5,2.3125,1,3.3125
492.5,261.5,1,1,2
909.5,391.5,1,1,2
801.5,357.5,1,1,2
214.5,992.5,1,1,2
735.5,130.5,1,1,2
293.5,204.5,3.625,1,4.625
985.5,587.5,3.625,1,4.625
701.5,543.5,1,1,2
448.5,820.5,1,1,2
376.5,757.5,1.375,1,2.375
1018.5,375.5,1,1,2
450.5,96.5,1,1,2
204.5,807.5,1,1,2
543.5,723.5,1,1,2
417.5,833.5,2.875,1,3.875
344.5,498.5,2.3125,1,3.3125
691.5,126.5,2.6875,1,3.6875
422.5,732.5,1,1,2
716.5,142.5,1,1,2
577.5,390.5,1.5625,1,2.5625
541.5,209.5,1,1,2
127.5,910.5,1,1,2
752.5,254.5,1,1,2
513.5,257.5,1,1,2
280.5,791.5,1,1,2
850.5,607.5,1,1,2
606.5,577.5,1,1,2
647.5,436.5,1,1,2
52.5,369.5,1.9375,1,2.9375
724.5,356.5,1,1,2
483.5,174.5,1,1,2
